floe_id,area_px,centroid_x,centroid_y,avg_temp,min_temp,max_temp,std_temp
79,3,385.94466403162056,145.7193675889328,-21.85817527770996,-22.38716697692871,-21.007802963256836,0.30387479066848755
80,1,225.89908256880733,145.41284403669724,-21.778606414794922,-22.38716697692871,-21.007802963256836,0.29262328147888184
81,7,414.3947895791583,148.97995991983967,-21.90361976623535,-22.7337703704834,-21.007802963256836,0.33044880628585815
82,59,521.0012481278083,184.95082376435346,-21.891897201538086,-22.618154525756836,-20.77899742126465,0.2872248888015747
83,1,35.93693693693694,146.54054054054055,-21.832963943481445,-22.27179527282715,-21.351598739624023,0.21029508113861084
84,2,164.45578231292518,147.50340136054422,-22.006366729736328,-22.618154525756836,-21.236928939819336,0.34500107169151306
85,2,243.22627737226279,145.67883211678833,-21.834896087646484,-22.38716697692871,-21.007802963256836,0.32908475399017334
86,7,182.0121212121212,159.35555555555555,-21.919408798217773,-22.618154525756836,-21.236928939819336,0.29301220178604126
87,30,290.50755728912725,171.60507069722087,-22.48883628845215,-23.5452938079834,-21.12233543395996,0.37043023109436035
88,0,319.7457627118644,151.0677966101695,-21.6787109375,-22.156484603881836,-21.236928939819336,0.23254087567329407
89,5,446.2909604519774,156.63276836158192,-21.752960205078125,-22.618154525756836,-20.77899742126465,0.35325345396995544
90,9,357.19565217391306,162.6583850931677,-22.05937957763672,-22.7337703704834,-21.007802963256836,0.3683992326259613
91,7,236.65466101694915,166.16101694915255,-22.1749210357666,-22.7337703704834,-21.007802963256836,0.34810763597488403
92,37,211.98928996429987,193.91868306227687,-22.0981502532959,-22.7337703704834,-21.007802963256836,0.29861247539520264
93,1,129.79611650485438,163.4368932038835,-21.89170265197754,-22.38716697692871,-21.236928939819336,0.26863768696784973
94,4,150.4295532646048,168.84192439862542,-21.991945266723633,-22.96523094177246,-21.12233543395996,0.42769333720207214
95,5,390.5461741424802,173.27968337730871,-22.04013442993164,-22.96523094177246,-21.12233543395996,0.36047932505607605
96,5,424.9881656804734,171.70710059171597,-21.699726104736328,-22.156484603881836,-20.77899742126465,0.2859862446784973
97,0,23.205128205128204,166.94871794871796,-21.76102066040039,-22.0412654876709,-21.466360092163086,0.16217054426670074
98,1,42.63551401869159,169.10280373831776,-22.09222412109375,-22.7337703704834,-21.351598739624023,0.34651726484298706
99,2,254.08080808080808,176.2020202020202,-21.90488052368164,-22.38716697692871,-21.007802963256836,0.29814913868904114
100,0,485.02941176470586,167.55882352941177,-21.43268585205078,-21.926137924194336,-21.12233543395996,0.17505674064159393
101,5,85.75537634408602,176.8951612903226,-21.989118576049805,-22.38716697692871,-21.236928939819336,0.23880986869335175
102,0,115.8974358974359,172.46153846153845,-21.734500885009766,-22.0412654876709,-21.351598739624023,0.17527718842029572
103,7,567.0102249488752,194.87525562372187,-21.83263397216797,-22.618154525756836,-20.77899742126465,0.36695486307144165
104,7,361.99794238683126,193.35185185185185,-22.171463012695312,-22.96523094177246,-21.007802963256836,0.41337811946868896
105,0,16.774193548387096,181.58064516129033,-21.518245697021484,-21.811071395874023,-21.351598739624023,0.11969754099845886
106,9,42.9021207177814,193.8548123980424,-21.97747039794922,-22.618154525756836,-21.236928939819336,0.2977001368999481
107,2,160.93197278911563,185.04761904761904,-21.85047721862793,-22.38716697692871,-21.236928939819336,0.30841585993766785
108,3,335.1865671641791,186.8544776119403,-21.7293758392334,-22.38716697692871,-20.77899742126465,0.29872962832450867
109,0,65.08571428571429,187.0,-21.509065628051758,-21.811071395874023,-21.236928939819336,0.15307581424713135
110,1,123.96261682242991,187.93457943925233,-21.923097610473633,-22.38716697692871,-21.351598739624023,0.2572276294231415
111,6,175.44494382022472,199.40898876404495,-21.901813507080078,-22.38716697692871,-21.007802963256836,0.2941105365753174
112,19,399.77511591962906,208.13678516228748,-21.854490280151367,-22.618154525756836,-21.12233543395996,0.2727771997451782
113,63,455.9515306122449,225.43205009276437,-21.971607208251953,-22.618154525756836,-20.77899742126465,0.2618156373500824
114,23,106.96960297766749,208.4075682382134,-22.3588809967041,-23.08107566833496,-21.236928939819336,0.3784739673137665
115,25,613.9357476635514,208.83177570093457,-21.753684997558594,-22.38716697692871,-20.77899742126465,0.2932198941707611
116,3,5.486792452830189,206.4188679245283,-22.22825813293457,-22.849462509155273,-21.236928939819336,0.3785983622074127
117,21,258.1283276450512,217.35426621160408,-22.04535484313965,-22.618154525756836,-20.77899742126465,0.2810085117816925
118,6,149.7418655097614,217.97396963123643,-21.898174285888672,-22.618154525756836,-21.007802963256836,0.2949639856815338
119,38,338.4286258089075,239.7929196802436,-22.047597885131836,-22.96523094177246,-21.007802963256836,0.30690526962280273
120,10,33.90974212034384,228.96848137535815,-21.977909088134766,-22.618154525756836,-21.236928939819336,0.3301347494125366
121,2,16.06896551724138,249.4022988505747,-21.868165969848633,-22.38716697692871,-21.236928939819336,0.2851200997829437
122,1,10.507246376811594,225.231884057971,-21.51974105834961,-22.0412654876709,-21.007802963256836,0.2225496619939804
